Week Ending,Provider State,Residents Weekly Confirmed COVID-19,Residents Weekly All Deaths,Residents Weekly COVID-19 Deaths,Total Number of Occupied Beds
2020-06-14,OK,30.0,73.0,5.0,16601.0
2020-06-14,OR,9.0,74.0,8.0,6632.0
2020-06-14,PA,734.0,902.0,170.0,65625.0
2020-06-14,PR,0.0,0.0,0.0,77.0
2020-06-14,RI,52.0,57.0,15.0,6234.0
2020-06-14,SC,116.0,91.0,20.0,15645.0
2020-06-14,SD,11.0,25.0,1.0,5297.0
2020-06-14,TN,64.0,139.0,8.0,24683.0
2020-06-14,TX,341.0,384.0,54.0,81658.0
2020-06-14,UT,8.0,28.0,6.0,5030.0
2020-06-14,VA,105.0,139.0,32.0,24414.0
2020-06-14,VT,0.0,7.0,0.0,2203.0
2020-06-14,WA,60.0,72.0,8.0,13280.0
2020-06-14,WI,26.0,147.0,17.0,19842.0
2020-06-14,WV,3.0,46.0,0.0,8664.0
2020-06-14,WY,0.0,12.0,0.0,2182.0
2020-06-21,AK,1.0,0.0,0.0,662.0
2020-06-21,AL,298.0,110.0,26.0,20681.0
2020-06-21,AR,106.0,102.0,23.0,16147.0
2020-06-21,AZ,193.0,81.0,34.0,10452.0
2020-06-21,CA,970.0,581.0,220.0,88609.0
2020-06-21,CO,39.0,102.0,22.0,14549.0
2020-06-21,CT,72.0,115.0,33.0,17675.0
2020-06-21,DC,1.0,8.0,5.0,1609.0
2020-06-21,DE,12.0,29.0,7.0,3334.0
2020-06-21,FL,360.0,414.0,62.0,64881.0
2020-06-21,GA,330.0,198.0,71.0,29992.0
2020-06-21,GU,0.0,0.0,0.0,9.0
2020-06-21,HI,7.0,12.0,0.0,3433.0
2020-06-21,IA,33.0,109.0,14.0,21275.0
2020-06-21,ID,0.0,21.0,0.0,3804.0
2020-06-21,IL,424.0,443.0,147.0,58010.0
2020-06-21,IN,128.0,272.0,82.0,34335.0
2020-06-21,KS,32.0,92.0,7.0,15998.0
2020-06-21,KY,111.0,117.0,19.0,21078.0
2020-06-21,LA,213.0,193.0,78.0,23009.0
2020-06-21,MA,131.0,217.0,98.0,30469.0
2020-06-21,MD,120.0,184.0,61.0,19833.0
2020-06-21,ME,15.0,26.0,1.0,5459.0
2020-06-21,MI,46.0,612.0,28.0,32095.0
2020-06-21,MN,41.0,167.0,30.0,21493.0
2020-06-21,MO,77.0,187.0,23.0,35427.0
2020-06-21,MS,116.0,86.0,31.0,14161.0
2020-06-21,MT,0.0,18.0,0.0,3701.0
2020-06-21,NC,99.0,184.0,26.0,33350.0
2020-06-21,ND,1.0,32.0,0.0,4895.0
2020-06-21,NE,19.0,71.0,4.0,10188.0
2020-06-21,NH,70.0,51.0,12.0,5666.0
2020-06-21,NJ,217.0,416.0,88.0,33553.0
2020-06-21,NM,1.0,30.0,4.0,4857.0
2020-06-21,NV,9.0,14.0,2.0,4907.0
2020-06-21,NY,437.0,446.0,69.0,86822.0
2020-06-21,OH,197.0,371.0,61.0,64737.0
2020-06-21,OK,30.0,96.0,12.0,16564.0
2020-06-21,OR,11.0,76.0,5.0,6610.0
2020-06-21,PA,728.0,834.0,146.0,65903.0
2020-06-21,PR,0.0,0.0,0.0,74.0
2020-06-21,RI,70.0,39.0,21.0,6235.0
2020-06-21,SC,147.0,101.0,22.0,15609.0
2020-06-21,SD,18.0,30.0,3.0,5287.0
2020-06-21,TN,99.0,155.0,14.0,24780.0
2020-06-21,TX,635.0,453.0,98.0,81865.0
2020-06-21,UT,34.0,21.0,6.0,5073.0
2020-06-21,VA,137.0,130.0,33.0,24597.0
2020-06-21,VT,0.0,12.0,1.0,2203.0
2020-06-21,WA,44.0,60.0,5.0,13302.0
2020-06-21,WI,28.0,146.0,19.0,19885.0
2020-06-21,WV,2.0,38.0,2.0,8649.0
2020-06-21,WY,0.0,13.0,2.0,2184.0
2020-06-28,AK,0.0,1.0,0.0,662.0
2020-06-28,AL,371.0,152.0,36.0,20619.0
2020-06-28,AR,201.0,104.0,27.0,15979.0
2020-06-28,AZ,321.0,84.0,39.0,10362.0
2020-06-28,CA,1187.0,496.0,180.0,88206.0
2020-06-28,CO,34.0,82.0,10.0,14556.0
2020-06-28,CT,45.0,122.0,23.0,17747.0
2020-06-28,DC,0.0,5.0,1.0,1627.0
2020-06-28,DE,5.0,15.0,4.0,3366.0
2020-06-28,FL,691.0,387.0,87.0,65074.0
2020-06-28,GA,270.0,226.0,74.0,29505.0
2020-06-28,GU,0.0,0.0,0.0,10.0
2020-06-28,HI,3.0,8.0,0.0,3437.0
2020-06-28,IA,16.0,103.0,4.0,21300.0
2020-06-28,ID,5.0,13.0,0.0,3869.0
2020-06-28,IL,309.0,389.0,75.0,58113.0
2020-06-28,IN,158.0,266.0,63.0,34364.0
2020-06-28,KS,42.0,101.0,10.0,15939.0
2020-06-28,KY,214.0,103.0,9.0,21137.0
2020-06-28,LA,222.0,192.0,92.0,22872.0
2020-06-28,MA,89.0,175.0,51.0,29793.0
2020-06-28,MD,76.0,134.0,33.0,19950.0
2020-06-28,ME,30.0,38.0,0.0,5462.0
2020-06-28,MI,55.0,560.0,52.0,32332.0
2020-06-28,MN,38.0,151.0,28.0,21154.0
2020-06-28,MO,147.0,181.0,27.0,35453.0
2020-06-28,MS,134.0,55.0,11.0,14171.0
2020-06-28,MT,1.0,12.0,0.0,3703.0
2020-06-28,NC,124.0,181.0,27.0,33354.0
2020-06-28,ND,6.0,30.0,1.0,4898.0
2020-06-28,NE,19.0,69.0,4.0,10179.0
2020-06-28,NH,46.0,50.0,19.0,5588.0
2020-06-28,NJ,134.0,459.0,65.0,33564.0
2020-06-28,NM,25.0,27.0,4.0,4919.0
2020-06-28,NV,26.0,15.0,0.0,4941.0
2020-06-28,NY,287.0,444.0,54.0,86918.0
2020-06-28,OH,310.0,394.0,56.0,64964.0
2020-06-28,OK,25.0,81.0,5.0,16791.0
2020-06-28,OR,12.0,66.0,0.0,6656.0
2020-06-28,PA,951.0,871.0,173.0,65788.0
2020-06-28,PR,0.0,0.0,0.0,63.0
2020-06-28,RI,24.0,59.0,13.0,6244.0
2020-06-28,SC,107.0,95.0,27.0,15557.0
2020-06-28,SD,4.0,38.0,2.0,5297.0
2020-06-28,TN,78.0,165.0,12.0,24836.0
2020-06-28,TX,595.0,449.0,86.0,82055.0
2020-06-28,UT,49.0,21.0,3.0,5097.0
2020-06-28,VA,91.0,148.0,35.0,24678.0
2020-06-28,VT,1.0,15.0,0.0,2198.0
2020-06-28,WA,48.0,67.0,10.0,13545.0
2020-06-28,WI,19.0,116.0,8.0,19846.0
2020-06-28,WV,1.0,46.0,0.0,8675.0
2020-06-28,WY,0.0,13.0,0.0,2201.0
2020-07-05,AK,0.0,2.0,0.0,663.0
2020-07-05,AL,371.0,130.0,41.0,20491.0
2020-07-05,AR,155.0,83.0,18.0,16024.0
2020-07-05,AZ,254.0,103.0,42.0,10243.0
2020-07-05,CA,1262.0,409.0,136.0,87814.0
2020-07-05,CO,37.0,86.0,11.0,14603.0
2020-07-05,CT,36.0,80.0,5.0,17815.0
2020-07-05,DC,0.0,7.0,0.0,1627.0
2020-07-05,DE,6.0,11.0,2.0,3397.0
2020-07-05,FL,620.0,452.0,105.0,64866.0
2020-07-05,GA,469.0,264.0,72.0,29407.0
2020-07-05,GU,0.0,0.0,0.0,10.0
2020-07-05,HI,1.0,8.0,0.0,3429.0
2020-07-05,IA,110.0,142.0,8.0,21337.0
2020-07-05,ID,28.0,25.0,2.0,3821.0
2020-07-05,IL,272.0,355.0,72.0,58186.0
2020-07-05,IN,132.0,324.0,110.0,34586.0
2020-07-05,KS,55.0,110.0,7.0,15903.0
2020-07-05,KY,137.0,114.0,34.0,21153.0
2020-07-05,LA,212.0,182.0,77.0,22789.0
2020-07-05,MA,50.0,138.0,40.0,30594.0
2020-07-05,MD,106.0,192.0,57.0,20131.0
2020-07-05,ME,13.0,33.0,2.0,5467.0
2020-07-05,MI,77.0,530.0,29.0,32372.0
2020-07-05,MN,50.0,150.0,18.0,21195.0
2020-07-05,MO,173.0,201.0,26.0,35519.0
2020-07-05,MS,250.0,88.0,30.0,14112.0
2020-07-05,MT,0.0,19.0,1.0,3684.0
2020-07-05,NC,145.0,219.0,46.0,33808.0
2020-07-05,ND,2.0,19.0,0.0,4919.0
2020-07-05,NE,3.0,81.0,4.0,10206.0
2020-07-05,NH,30.0,39.0,8.0,5590.0
2020-07-05,NJ,106.0,458.0,72.0,33764.0
2020-07-05,NM,38.0,23.0,6.0,4924.0
2020-07-05,NV,62.0,19.0,5.0,4893.0
2020-07-05,NY,158.0,423.0,40.0,86983.0
2020-07-05,OH,256.0,390.0,38.0,65056.0
2020-07-05,OK,46.0,71.0,5.0,16716.0
2020-07-05,OR,20.0,76.0,4.0,6653.0
2020-07-05,PA,681.0,967.0,179.0,65840.0
2020-07-05,PR,0.0,0.0,0.0,81.0
2020-07-05,RI,15.0,36.0,11.0,6248.0
2020-07-05,SC,255.0,103.0,30.0,15488.0
2020-07-05,SD,6.0,27.0,2.0,5294.0
2020-07-05,TN,62.0,176.0,19.0,24802.0
2020-07-05,TX,1106.0,445.0,118.0,81859.0
2020-07-05,UT,46.0,34.0,9.0,5055.0
2020-07-05,VA,80.0,128.0,23.0,24684.0
2020-07-05,VT,0.0,14.0,0.0,2193.0
2020-07-05,WA,68.0,102.0,6.0,13402.0
2020-07-05,WI,24.0,132.0,7.0,19887.0
2020-07-05,WV,2.0,37.0,0.0,8672.0
2020-07-05,WY,0.0,10.0,0.0,2202.0
2020-07-12,AK,0.0,5.0,0.0,660.0
2020-07-12,AL,458.0,117.0,42.0,20311.0
2020-07-12,AR,35.0,77.0,13.0,16025.0
2020-07-12,AZ,294.0,117.0,59.0,10113.0
2020-07-12,CA,1155.0,550.0,209.0,87090.0
2020-07-12,CO,19.0,72.0,10.0,14631.0
2020-07-12,CT,32.0,87.0,12.0,17813.0
2020-07-12,DC,1.0,10.0,1.0,1637.0
2020-07-12,DE,5.0,15.0,2.0,3414.0
2020-07-12,FL,1339.0,455.0,132.0,64854.0
2020-07-12,GA,572.0,246.0,71.0,29385.0
2020-07-12,GU,0.0,0.0,0.0,11.0
2020-07-12,HI,0.0,9.0,0.0,3424.0
2020-07-12,IA,147.0,148.0,12.0,21293.0
2020-07-12,ID,26.0,17.0,3.0,3849.0
2020-07-12,IL,183.0,358.0,61.0,58696.0
2020-07-12,IN,189.0,294.0,106.0,34496.0
2020-07-12,KS,16.0,86.0,9.0,15926.0
2020-07-12,KY,140.0,105.0,20.0,21040.0
2020-07-12,LA,319.0,219.0,90.0,22805.0
2020-07-12,MA,35.0,156.0,33.0,29971.0
2020-07-12,MD,184.0,143.0,14.0,20115.0
2020-07-12,ME,3.0,37.0,7.0,5428.0
2020-07-12,MI,113.0,529.0,17.0,32362.0
2020-07-12,MN,36.0,146.0,13.0,21189.0
2020-07-12,MO,176.0,186.0,27.0,35478.0
2020-07-12,MS,312.0,101.0,39.0,13969.0
2020-07-12,MT,1.0,16.0,0.0,3667.0
2020-07-12,NC,170.0,190.0,32.0,33230.0
2020-07-12,ND,10.0,24.0,1.0,4929.0
2020-07-12,NE,11.0,79.0,3.0,10189.0
2020-07-12,NH,8.0,41.0,8.0,5589.0
2020-07-12,NJ,99.0,292.0,67.0,33891.0
2020-07-12,NM,16.0,36.0,7.0,4890.0
2020-07-12,NV,31.0,30.0,6.0,4844.0
2020-07-12,NY,139.0,413.0,24.0,87003.0
2020-07-12,OH,279.0,397.0,69.0,64769.0
2020-07-12,OK,71.0,89.0,11.0,16682.0
2020-07-12,OR,10.0,68.0,3.0,6590.0
2020-07-12,PA,662.0,928.0,149.0,65781.0
2020-07-12,PR,0.0,0.0,0.0,92.0
2020-07-12,RI,0.0,27.0,8.0,6183.0
2020-07-12,SC,369.0,123.0,40.0,15402.0
2020-07-12,SD,18.0,24.0,2.0,5285.0
2020-07-12,TN,96.0,166.0,15.0,24822.0
2020-07-12,TX,2011.0,561.0,185.0,81193.0
2020-07-12,UT,73.0,24.0,13.0,4914.0
2020-07-12,VA,179.0,118.0,14.0,24707.0
2020-07-12,VT,1.0,12.0,0.0,2167.0
2020-07-12,WA,72.0,74.0,13.0,13357.0
2020-07-12,WI,14.0,148.0,10.0,19830.0
2020-07-12,WV,5.0,38.0,0.0,8652.0
2020-07-12,WY,0.0,9.0,0.0,2135.0
2020-07-19,AK,0.0,2.0,0.0,706.0
2020-07-19,AL,531.0,158.0,60.0,20212.0
2020-07-19,AR,121.0,85.0,28.0,15768.0
2020-07-19,AZ,212.0,113.0,44.0,9996.0
2020-07-19,CA,1414.0,518.0,194.0,86735.0
2020-07-19,CO,15.0,76.0,3.0,14575.0
2020-07-19,CT,28.0,81.0,3.0,17861.0
2020-07-19,DC,5.0,3.0,0.0,1651.0
2020-07-19,DE,12.0,21.0,2.0,3417.0
2020-07-19,FL,1768.0,547.0,196.0,63681.0
2020-07-19,GA,663.0,274.0,104.0,29322.0
2020-07-19,GU,0.0,0.0,0.0,11.0
2020-07-19,HI,8.0,16.0,0.0,3405.0
2020-07-19,IA,122.0,124.0,19.0,21278.0
2020-07-19,ID,47.0,14.0,1.0,3816.0
2020-07-19,IL,147.0,315.0,37.0,58227.0
2020-07-19,IN,95.0,229.0,77.0,34729.0
2020-07-19,KS,37.0,94.0,4.0,15982.0
2020-07-19,KY,101.0,119.0,28.0,20999.0
2020-07-19,LA,531.0,199.0,113.0,22703.0
2020-07-19,MA,18.0,126.0,18.0,30045.0
2020-07-19,MD,188.0,154.0,21.0,20161.0
2020-07-19,ME,6.0,41.0,3.0,5417.0
2020-07-19,MI,81.0,412.0,12.0,32339.0
2020-07-19,MN,40.0,132.0,12.0,21296.0
2020-07-19,MO,204.0,210.0,26.0,35366.0
2020-07-19,MS,312.0,106.0,53.0,13924.0
2020-07-19,MT,0.0,15.0,0.0,3685.0
2020-07-19,NC,262.0,174.0,35.0,33407.0
2020-07-19,ND,4.0,24.0,1.0,4927.0
2020-07-19,NE,21.0,78.0,5.0,10209.0
2020-07-19,NH,2.0,35.0,2.0,5629.0
2020-07-19,NJ,59.0,172.0,45.0,33908.0
2020-07-19,NM,79.0,43.0,22.0,4866.0
2020-07-19,NV,68.0,22.0,3.0,4853.0
2020-07-19,NY,147.0,419.0,17.0,87067.0
2020-07-19,OH,324.0,357.0,40.0,64762.0
2020-07-19,OK,106.0,98.0,14.0,16725.0
2020-07-19,OR,25.0,68.0,5.0,6616.0
2020-07-19,PA,725.0,969.0,120.0,65867.0
2020-07-19,PR,1.0,0.0,0.0,95.0
2020-07-19,RI,9.0,25.0,7.0,6242.0
2020-07-19,SC,412.0,162.0,52.0,15237.0
2020-07-19,SD,16.0,31.0,2.0,5284.0
2020-07-19,TN,175.0,159.0,22.0,24764.0
2020-07-19,TX,2232.0,707.0,330.0,81329.0
2020-07-19,UT,55.0,35.0,18.0,4999.0
2020-07-19,VA,135.0,130.0,32.0,24662.0
2020-07-19,VT,0.0,13.0,0.0,2200.0
2020-07-19,WA,98.0,81.0,5.0,13498.0
2020-07-19,WI,30.0,140.0,9.0,19853.0
2020-07-19,WV,7.0,47.0,0.0,8663.0
2020-07-19,WY,0.0,6.0,0.0,2201.0
2020-07-26,AK,0.0,1.0,0.0,668.0
2020-07-26,AL,540.0,176.0,67.0,19949.0
2020-07-26,AR,160.0,101.0,27.0,15880.0
2020-07-26,AZ,244.0,138.0,57.0,10034.0
2020-07-26,CA,1669.0,552.0,209.0,86341.0
2020-07-26,CO,38.0,76.0,9.0,14630.0
2020-07-26,CT,14.0,98.0,4.0,17908.0
2020-07-26,DC,2.0,5.0,0.0,1675.0
2020-07-26,DE,12.0,15.0,2.0,3404.0
2020-07-26,FL,1914.0,646.0,294.0,63150.0
2020-07-26,GA,661.0,226.0,93.0,29135.0
2020-07-26,GU,0.0,0.0,0.0,10.0
2020-07-26,HI,2.0,16.0,0.0,3383.0
2020-07-26,IA,121.0,154.0,32.0,21267.0
2020-07-26,ID,92.0,25.0,10.0,3828.0
2020-07-26,IL,135.0,288.0,35.0,58237.0
2020-07-26,IN,126.0,218.0,91.0,35377.0
2020-07-26,KS,68.0,103.0,10.0,15905.0
2020-07-26,KY,102.0,97.0,19.0,21044.0
2020-07-26,LA,581.0,211.0,92.0,22657.0
2020-07-26,MA,57.0,150.0,20.0,30334.0
2020-07-26,MD,121.0,131.0,25.0,20073.0
2020-07-26,ME,13.0,26.0,0.0,5431.0
2020-07-26,MI,135.0,444.0,10.0,32319.0
2020-07-26,MN,33.0,119.0,6.0,21341.0
2020-07-26,MO,258.0,178.0,23.0,35252.0
2020-07-26,MS,347.0,99.0,44.0,13884.0
2020-07-26,MT,5.0,15.0,0.0,3667.0
